,tripid,startlongitude,startlatitude,endlongitude,endlatitude,durationstart,durationend,activityid,activityprobability
0,1225191,-123.412025,47.013973,-122.82899,47.040802,2022-03-26 19:44:49,2022-03-26 20:21:46,7,99.354645
1,1225199,-122.943054,47.047016,-122.9511,47.04641,2022-03-28 19:20:09,2022-03-28 19:21:45,7,96.57555
2,1225205,-122.95212,47.04233,-122.95114,47.045105,2022-03-29 22:37:05,2022-03-29 22:43:07,16,83.87886
3,1225123,-122.951805,47.042282,-122.95084,47.04471,2022-04-08 14:51:46,2022-04-08 14:55:43,16,78.405106
4,1225166,-122.95139,47.046383,-122.93466,47.04615,2022-03-18 19:21:01,2022-03-18 19:25:36,7,98.08643
5,1225092,-122.84706,47.040787,-122.82015,47.03378,2022-04-01 01:26:24,2022-04-01 01:31:17,7,98.2702
6,1225097,-122.82072,47.032875,-122.59427,45.489452,2022-04-03 16:02:27,2022-04-03 17:57:46,7,98.05163
7,1225211,-122.82008,47.032887,-122.95139,47.046124,2022-03-31 15:28:19,2022-03-31 15:44:00,7,99.297676
8,1225144,-122.82087,47.032764,-122.95121,47.046158,2022-04-13 15:31:26,2022-04-13 15:47:15,7,98.43389
9,1225181,-122.95173,47.04606,-122.81999,47.03284,2022-03-25 01:02:30,2022-03-25 01:18:31,7,98.738625
10,1225138,-122.95137,47.045326,-122.95195,47.042233,2022-04-12 16:09:08,2022-04-12 16:13:57,16,72.37379
11,1225148,-122.84518,47.04173,-122.82077,47.032806,2022-03-12 01:33:02,2022-03-12 01:39:18,7,98.699455
12,1225176,-122.93566,47.04644,-122.95178,47.04508,2022-03-23 19:29:00,2022-03-23 19:31:20,7,98.78462
13,1225189,-122.81966,47.033005,-123.41005,47.0063,2022-03-26 17:43:27,2022-03-26 18:24:03,7,91.26079
14,1225178,-122.82106,47.032574,-122.95186,47.045036,2022-03-24 15:29:14,2022-03-24 15:46:34,7,99.41768
15,1225188,-122.82871,47.04065,-122.82008,47.032837,2022-03-26 01:31:18,2022-03-26 01:35:13,7,97.51869
16,1225201,-122.95212,47.042343,-122.95129,47.04517,2022-03-28 22:26:41,2022-03-28 22:31:00,16,86.826225
17,1225155,-122.95182,47.04221,-122.95143,47.045204,2022-03-14 20:38:23,2022-03-14 20:42:40,16,80.05365
18,1225115,-122.95187,47.045002,-122.82022,47.03379,2022-04-07 01:03:35,2022-04-07 01:19:22,7,99.206474
19,1225147,-122.7617,47.05908,-122.84656,47.04178,2022-03-12 01:07:56,2022-03-12 01:25:00,7,95.49379
20,1225173,-122.95133,47.0458,-122.82087,47.032784,2022-03-23 01:07:18,2022-03-23 01:22:28,7,99.079895
21,1225206,-122.95217,47.045597,-122.82078,47.032803,2022-03-30 01:03:39,2022-03-30 01:18:33,7,98.47697
22,1225177,-122.952286,47.044727,-122.820244,47.032852,2022-03-24 01:03:14,2022-03-24 01:18:39,7,99.29462
23,1225105,-122.823326,47.037296,-122.82076,47.032867,2022-04-04 19:27:27,2022-04-04 19:30:25,7,98.143265
24,1225140,-122.95098,47.046406,-122.94237,47.046192,2022-04-12 19:26:30,2022-04-12 19:28:04,7,94.758606
25,1225136,-122.95091,47.046455,-122.82033,47.03284,2022-04-12 01:08:55,2022-04-12 01:24:00,7,98.79086
26,1225103,-122.594376,45.488823,-122.82077,47.032795,2022-04-03 22:34:02,2022-04-04 00:30:28,7,98.76396
27,1225117,-122.95079,47.04649,-122.93433,47.04549,2022-04-07 19:04:18,2022-04-07 19:11:26,7,81.74141
28,1225157,-122.82121,47.032494,-122.95183,47.045044,2022-03-16 15:28:10,2022-03-16 15:45:41,7,99.05995
29,1225143,-122.828865,47.040653,-122.81974,47.03321,2022-04-13 01:31:16,2022-04-13 01:33:37,7,98.04031
30,1225158,-122.95147,47.045982,-122.93459,47.04612,2022-03-16 19:08:35,2022-03-16 19:13:06,7,98.08405
31,1225186,-122.951935,47.042282,-122.9514,47.045303,2022-03-25 21:51:39,2022-03-25 22:52:44,7,46.614674
32,1225210,-122.951355,47.046055,-122.82002,47.03283,2022-03-31 01:28:00,2022-03-31 01:44:01,7,98.99361
33,1225152,-122.951225,47.045444,-122.94061,47.03986,2022-03-14 19:04:21,2022-03-14 19:09:00,7,97.65508
34,1225132,-122.82443,47.03631,-122.82084,47.032784,2022-04-09 16:38:24,2022-04-09 16:40:03,7,97.65678
35,1225174,-122.82056,47.032852,-122.9518,47.045055,2022-03-23 15:31:33,2022-03-23 15:48:11,7,99.175995
36,1225195,-122.82105,47.03254,-122.80035,47.03839,2022-03-27 18:48:37,2022-03-27 18:52:52,7,98.53313
